domain,ascore,backlinks,ip,country,first_seen,last_seen,current_verdict,tox_score,reasons
blog-forest.help,0,2,104.21.38.56,,2026-08-23,2026-09-02,MONITOR,2,very-low-authority(AS0); spam-tld(.help); weak signal — human QA
domraider.eu.com,0,4,172.67.212.236,,2026-08-11,2026-08-31,MONITOR,1,very-low-authority(AS0); weak signal — human QA
domraider.gb.net,0,4,172.67.168.81,,2026-08-11,2026-08-29,MONITOR,1,very-low-authority(AS0); weak signal — human QA
domraider.it.com,0,4,104.21.1.165,,2026-08-16,2026-09-02,MONITOR,1,very-low-authority(AS0); weak signal — human QA
huntsvilletoprated.com,0,2,104.21.2.22,,2026-08-05,2026-08-29,MONITOR,1,very-low-authority(AS0); weak signal — human QA
raven-frost.online,0,2,172.67.213.220,,2026-08-24,2026-09-03,MONITOR,2,very-low-authority(AS0); spam-tld(.online); weak signal — human QA
solace-moon.online,0,2,172.67.165.168,,2026-08-23,2026-09-02,MONITOR,2,very-low-authority(AS0); spam-tld(.online); weak signal — human QA
tempest-ash.online,0,2,104.21.91.165,,2026-08-23,2026-09-01,MONITOR,2,very-low-authority(AS0); spam-tld(.online); weak signal — human QA
xylo-mist.online,0,2,104.21.8.93,,2026-08-21,2026-08-30,MONITOR,2,very-low-authority(AS0); spam-tld(.online); weak signal — human QA
answersmeta.com,2,6,104.21.17.21,,2026-05-13,2026-08-26,MONITOR,1,very-low-authority(AS2); weak signal — human QA
ateliereleaurorei.ro,2,1,172.67.203.169,,2026-03-13,2026-05-02,MONITOR,1,very-low-authority(AS2); weak signal — human QA
beepdreams.com,2,1,99.192.232.89,us,2026-08-24,2026-09-02,MONITOR,1,very-low-authority(AS2); weak signal — human QA
besttownfencepros.com,2,2,34.174.136.8,us,2025-10-03,2026-08-23,MONITOR,1,very-low-authority(AS2); weak signal — human QA
blc-eu.com,2,1,109.105.49.240,cz,2026-03-22,2026-08-20,MONITOR,2,very-low-authority(AS2); foreign-geo-cluster(cz); weak signal — human QA
blinks.monster,2,12,104.21.9.211,,2026-03-23,2026-08-28,MONITOR,2,very-low-authority(AS2); spam-tld(.monster); weak signal — human QA
blogerreviewers.com,2,4,172.67.215.250,,2026-08-29,2026-08-30,MONITOR,1,very-low-authority(AS2); weak signal — human QA
bluecantera.com,2,4,192.169.172.129,us,2026-03-01,2026-04-22,MONITOR,1,very-low-authority(AS2); weak signal — human QA
carolinaserviceslandscaping.com,2,1,35.215.115.193,us,2025-05-23,2026-08-07,MONITOR,1,very-low-authority(AS2); weak signal — human QA
changingfaceshousing.com,2,2,191.96.144.160,us,2025-09-12,2026-04-19,MONITOR,1,very-low-authority(AS2); weak signal — human QA
cityvetted.com,2,2,62.169.24.248,fr,2026-06-20,2026-08-24,MONITOR,1,very-low-authority(AS2); weak signal — human QA
cmocheatsheets.com,2,4,104.21.91.99,,2026-08-24,2026-08-26,MONITOR,1,very-low-authority(AS2); weak signal — human QA
corner-writers.blog,2,2,104.21.84.108,,2026-08-25,2026-09-02,MONITOR,1,very-low-authority(AS2); weak signal — human QA
