domain,ascore,backlinks,ip,country,first_seen,last_seen,current_verdict,tox_score,reasons
civiltej.com,3,2,108.181.242.144,us,2026-03-02,2026-09-02,MONITOR,1,very-low-authority(AS3); weak signal — human QA
hotonlinegaming.com,3,3,172.67.129.112,,2026-08-27,2026-08-27,MONITOR,1,very-low-authority(AS3); weak signal — human QA
isardomains.com,3,1,104.21.48.247,,2026-03-12,2026-08-21,MONITOR,1,very-low-authority(AS3); weak signal — human QA
mygirlyspace.com,3,1,31.170.166.36,us,2024-05-19,2026-06-16,MONITOR,1,very-low-authority(AS3); weak signal — human QA
revan-me.com,3,1,160.153.129.19,us,2026-03-02,2026-07-28,MONITOR,1,very-low-authority(AS3); weak signal — human QA
subhikh.com,3,1,93.188.2.55,se,2026-05-28,2026-05-28,MONITOR,2,very-low-authority(AS3); foreign-geo-cluster(se); weak signal — human QA
turfinstallpros.com,3,4,104.21.20.231,,2026-03-19,2026-09-03,MONITOR,1,very-low-authority(AS3); weak signal — human QA
wants.cfd,3,25,104.21.44.63,,2026-03-29,2026-08-31,MONITOR,2,very-low-authority(AS3); spam-tld(.cfd); weak signal — human QA
wecelebrities.com,3,3,172.67.199.73,,2026-09-02,2026-09-02,MONITOR,1,very-low-authority(AS3); weak signal — human QA
writfy.com,3,1,104.21.57.78,,2025-05-20,2026-07-06,MONITOR,1,very-low-authority(AS3); weak signal — human QA
7minutos.es,4,1,51.38.62.183,fr,2026-03-06,2026-08-21,MONITOR,1,very-low-authority(AS4); weak signal — human QA
agroinsursas.com,4,1,190.8.176.51,us,2026-03-10,2026-09-03,MONITOR,1,very-low-authority(AS4); weak signal — human QA
animalstart.com,4,10,172.67.209.131,,2025-10-02,2026-08-05,MONITOR,1,very-low-authority(AS4); weak signal — human QA
archive-hu.com,4,1,172.67.222.64,,2026-08-27,2026-08-27,MONITOR,1,very-low-authority(AS4); weak signal — human QA
betulcrime.com,4,3,172.67.192.162,,2026-08-23,2026-09-03,MONITOR,1,very-low-authority(AS4); weak signal — human QA
blinks.sbs,4,20,104.21.3.70,,2026-02-28,2026-08-26,MONITOR,2,very-low-authority(AS4); spam-tld(.sbs); weak signal — human QA
booksreadr.org,4,10,92.249.46.138,in,2026-03-10,2026-06-05,MONITOR,2,very-low-authority(AS4); foreign-geo-cluster(in); weak signal — human QA
eliotzigmundjazz.com,4,1,107.180.51.41,us,2026-04-05,2026-04-05,MONITOR,1,very-low-authority(AS4); weak signal — human QA
factmags.com,4,12,203.161.54.114,us,2026-02-28,2026-08-28,MONITOR,1,very-low-authority(AS4); weak signal — human QA
global-rank.pages.dev,4,2,172.66.44.155,,2026-03-13,2026-03-29,MONITOR,1,very-low-authority(AS4); weak signal — human QA
global-ranks.pages.dev,4,1,172.66.44.110,,2026-08-31,2026-08-31,MONITOR,1,very-low-authority(AS4); weak signal — human QA
global-websites.pages.dev,4,1,172.66.47.78,,2026-07-05,2026-07-05,MONITOR,1,very-low-authority(AS4); weak signal — human QA
goooogla.com,4,11,203.161.54.114,us,2026-04-09,2026-08-27,MONITOR,1,very-low-authority(AS4); weak signal — human QA
greattraveladvisor.com,4,1,107.180.2.227,us,2026-04-03,2026-08-08,MONITOR,1,very-low-authority(AS4); weak signal — human QA
knows.monster,4,15,172.67.214.69,,2026-02-18,2026-08-25,MONITOR,2,very-low-authority(AS4); spam-tld(.monster); weak signal — human QA
lovetravellife.com,4,1,108.181.247.75,us,2026-03-13,2026-08-22,MONITOR,1,very-low-authority(AS4); weak signal — human QA
medidocs.com,4,2,72.167.102.111,us,2026-03-23,2026-06-05,MONITOR,1,very-low-authority(AS4); weak signal — human QA
slapshady.com,4,1,208.109.22.214,us,2026-04-19,2026-08-13,MONITOR,1,very-low-authority(AS4); weak signal — human QA
startupwebsolutions.com.au,4,4,172.67.138.213,,2026-05-30,2026-06-01,MONITOR,1,very-low-authority(AS4); weak signal — human QA
unifiedgarden.com,4,4,145.223.89.37,gb,2024-12-13,2026-07-04,MONITOR,1,very-low-authority(AS4); weak signal — human QA
updatejakarta.com,4,1,104.21.34.221,,2025-11-20,2026-04-04,MONITOR,1,very-low-authority(AS4); weak signal — human QA
webbys.pages.dev,4,1,172.66.47.196,,2026-05-30,2026-07-26,MONITOR,1,very-low-authority(AS4); weak signal — human QA
weedspots.net,4,2,165.227.88.129,us,2026-02-26,2026-08-18,MONITOR,1,very-low-authority(AS4); weak signal — human QA
all-aged-domains.com,5,7,104.21.35.81,,2026-02-23,2026-09-04,MONITOR,1,very-low-authority(AS5); weak signal — human QA
aloysionunes.com,5,3,104.21.54.136,,2026-08-30,2026-08-30,MONITOR,1,very-low-authority(AS5); weak signal — human QA
findabusinessthat.com,5,2,172.67.146.82,,2026-04-06,2026-04-17,MONITOR,1,very-low-authority(AS5); weak signal — human QA
findingfarina.com,5,1,145.223.106.169,us,2023-10-22,2026-06-17,MONITOR,1,very-low-authority(AS5); weak signal — human QA
housesumo.com,5,1,156.67.71.92,us,2025-07-16,2026-06-21,MONITOR,1,very-low-authority(AS5); weak signal — human QA
mediaboooster.com,5,1,104.21.14.45,,2026-09-03,2026-09-03,MONITOR,1,very-low-authority(AS5); weak signal — human QA
robuta.com,5,5,162.159.140.164,us,2026-05-06,2026-05-11,MONITOR,1,very-low-authority(AS5); weak signal — human QA
unanswered.io,5,6,104.21.73.181,,2026-03-01,2026-09-04,MONITOR,1,very-low-authority(AS5); weak signal — human QA
webhubsites.com,5,1,172.67.192.40,,2026-03-04,2026-08-30,MONITOR,1,very-low-authority(AS5); weak signal — human QA
worldlinksites.com,5,1,104.21.11.111,,2026-03-02,2026-08-28,MONITOR,1,very-low-authority(AS5); weak signal — human QA
bermudagrassbible.com,6,1,172.67.183.122,,2026-02-28,2026-08-29,MONITOR,1,very-low-authority(AS6); weak signal — human QA
contractorsjunction.com,6,1,132.148.248.252,us,2026-03-30,2026-08-16,MONITOR,1,very-low-authority(AS6); weak signal — human QA
developmentmi.com,6,2,104.21.89.233,,2026-03-16,2026-07-16,MONITOR,1,very-low-authority(AS6); weak signal — human QA
divisionesmodularesjq.com,6,1,162.215.210.151,us,2025-07-18,2026-03-12,MONITOR,1,very-low-authority(AS6); weak signal — human QA
dowjones.io,6,1,192.0.66.208,us,2026-04-15,2026-08-11,MONITOR,1,very-low-authority(AS6); weak signal — human QA
dreamlandsdesign.com,6,1,185.77.97.183,gb,2023-03-22,2026-05-03,MONITOR,1,very-low-authority(AS6); weak signal — human QA
eurekster.com,6,122,170.9.240.198,us,2025-01-14,2026-08-28,MONITOR,1,very-low-authority(AS6); weak signal — human QA
houseandhomeonline.com,6,4,54.85.8.229,us,2024-08-12,2026-09-03,MONITOR,1,very-low-authority(AS6); weak signal — human QA
