domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
mygreenbucks.net,32,15,104.21.39.229,1,,2026-01-31,2026-08-20,TOXIC,AS>=20 with no spam signal
escuela-indecopi.edu.pe,13,1,173.212.231.25,1,fr,2026-03-04,2026-05-28,TOXIC,no strong signal — human QA
solvermatic.com,12,1,162.159.134.42,1,us,2026-03-01,2026-08-31,TOXIC,no strong signal — human QA
greentechtree.com,8,1,174.136.57.104,1,us,2025-08-29,2026-08-11,TOXIC,no strong signal — human QA
businesslistingslocal.com,6,1,94.46.41.17,1,se,2026-02-24,2026-04-22,TOXIC,pbn-ip-cluster:94.46.41; very-low-authority(AS6); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
keirseybooks.com,6,1,107.180.3.106,1,us,2026-05-25,2026-05-25,TOXIC,very-low-authority(AS6); weak signal — human QA
bestarticleworld.com,5,1,104.21.55.170,1,,2026-03-07,2026-08-24,TOXIC,very-low-authority(AS5); directory/article/bookmark-spam-name
prontowebdir.com,5,2,64.182.182.96,1,us,2026-03-07,2026-04-16,TOXIC,pbn-ip-cluster:64.182.182; very-low-authority(AS5); directory/article/bookmark-spam-name
agroinsursas.com,4,1,190.8.176.51,1,us,2026-03-10,2026-09-03,TOXIC,very-low-authority(AS4); weak signal — human QA
startupwebsolutions.com.au,4,4,172.67.138.213,1,,2026-05-30,2026-06-01,TOXIC,very-low-authority(AS4); weak signal — human QA
revan-me.com,3,1,160.153.129.19,1,us,2026-03-02,2026-07-28,TOXIC,very-low-authority(AS3); weak signal — human QA
gardenshaper.com,2,12,198.20.115.3,1,nl,2025-07-13,2026-08-23,TOXIC,very-low-authority(AS2); weak signal — human QA
a-zbusinesses.com,2,2,64.182.252.98,1,us,2026-03-13,2026-08-22,TOXIC,pbn-ip-cluster:64.182.252; very-low-authority(AS2)
alistweb.co,2,2,64.182.11.102,1,us,2026-03-06,2026-04-15,TOXIC,pbn-ip-cluster:64.182.11; very-low-authority(AS2)
aotw.co,2,2,69.13.196.77,1,us,2026-03-05,2026-04-15,TOXIC,pbn-ip-cluster:69.13.196; very-low-authority(AS2)
articlewiki.co,2,2,188.114.246.40,1,se,2026-02-25,2026-05-01,TOXIC,pbn-ip-cluster:188.114.246; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
bestlocalcenter.com,2,2,69.13.148.131,1,us,2026-03-03,2026-08-24,TOXIC,pbn-ip-cluster:69.13.148; very-low-authority(AS2)
blogerreviewers.com,2,4,172.67.215.250,1,,2026-08-29,2026-08-30,TOXIC,very-low-authority(AS2); weak signal — human QA
businessinfoseek.com,2,1,64.182.118.221,1,us,2026-08-24,2026-08-24,TOXIC,pbn-ip-cluster:64.182.118; very-low-authority(AS2)
cityvetted.com,2,2,62.169.24.248,1,fr,2026-06-20,2026-08-24,TOXIC,very-low-authority(AS2); weak signal — human QA
decoratingmom.com,2,1,172.67.201.81,1,,2025-05-28,2026-06-05,TOXIC,very-low-authority(AS2); weak signal — human QA
directorit.org,2,2,69.13.201.135,1,us,2026-03-06,2026-04-15,TOXIC,pbn-ip-cluster:69.13.201; very-low-authority(AS2); directory/article/bookmark-spam-name
directoryninja.org,2,1,69.13.37.33,1,us,2026-08-11,2026-08-28,TOXIC,pbn-ip-cluster:69.13.37; very-low-authority(AS2); directory/article/bookmark-spam-name
directoryshine.net,2,2,64.182.41.225,1,us,2026-03-04,2026-04-13,TOXIC,pbn-ip-cluster:64.182.41; very-low-authority(AS2); directory/article/bookmark-spam-name
easybusinessdirect.com,2,1,69.13.225.112,1,us,2026-08-11,2026-08-19,TOXIC,pbn-ip-cluster:69.13.225; very-low-authority(AS2)
enterprisebusinesslistings.com,2,1,94.46.42.27,1,se,2026-03-15,2026-04-04,TOXIC,pbn-ip-cluster:94.46.42; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
favoritebusinesses.net,2,1,69.13.54.97,1,us,2026-08-16,2026-09-01,TOXIC,pbn-ip-cluster:69.13.54; very-low-authority(AS2)
findtor.com,2,1,3.132.208.69,1,us,2026-02-19,2026-03-07,TOXIC,very-low-authority(AS2); weak signal — human QA
getlistedahead.com,2,2,69.13.63.194,1,us,2026-02-27,2026-08-24,TOXIC,pbn-ip-cluster:69.13.63; very-low-authority(AS2)
godigitalbusinesshub.com,2,1,64.182.129.18,1,us,2026-08-09,2026-08-25,TOXIC,pbn-ip-cluster:64.182.129; very-low-authority(AS2)
harian24.com,2,1,104.21.65.94,1,,2026-03-03,2026-03-03,TOXIC,very-low-authority(AS2); weak signal — human QA
ideailluminator.com,2,1,64.182.153.252,1,us,2026-08-06,2026-09-02,TOXIC,pbn-ip-cluster:64.182.153; very-low-authority(AS2)
lawyerinjeddah.com,2,4,104.21.36.238,1,,2026-08-31,2026-08-31,TOXIC,very-low-authority(AS2); weak signal — human QA
listingpros.info,2,2,69.13.85.130,1,us,2026-02-23,2026-08-31,TOXIC,pbn-ip-cluster:69.13.85; very-low-authority(AS2); directory/article/bookmark-spam-name
listique.org,2,2,69.13.91.129,1,us,2026-03-05,2026-09-04,TOXIC,pbn-ip-cluster:69.13.91; very-low-authority(AS2)
localbusinessesdir.com,2,2,69.13.96.17,1,us,2026-03-03,2026-08-25,TOXIC,pbn-ip-cluster:69.13.96; very-low-authority(AS2)
localquest.info,2,1,69.13.103.32,1,us,2026-08-09,2026-09-03,TOXIC,pbn-ip-cluster:69.13.103; very-low-authority(AS2)
loyaldirectory.com,2,1,82.102.3.25,1,se,2026-01-05,2026-04-22,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
mymarketpost.com,2,3,172.67.159.15,1,,2026-08-27,2026-08-27,TOXIC,very-low-authority(AS2); weak signal — human QA
octopedia.biz,2,2,64.182.155.50,1,us,2026-03-08,2026-04-18,TOXIC,pbn-ip-cluster:64.182.155; very-low-authority(AS2)
onlinezest.org,2,2,64.182.160.104,1,us,2026-02-15,2026-03-28,TOXIC,pbn-ip-cluster:64.182.160; very-low-authority(AS2)
postyourstory.net,2,1,69.13.152.26,1,us,2026-03-14,2026-04-03,TOXIC,pbn-ip-cluster:69.13.152; very-low-authority(AS2)
purebusinesslistings.com,2,1,185.41.91.48,1,se,2025-12-19,2026-04-18,TOXIC,pbn-ip-cluster:185.41.91; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
reviewmx.com,2,1,172.67.164.204,1,,2026-01-03,2026-07-27,TOXIC,very-low-authority(AS2); weak signal — human QA
searchranks.org,2,2,64.182.171.81,1,us,2026-03-17,2026-04-06,TOXIC,pbn-ip-cluster:64.182.171; very-low-authority(AS2)
shareddirectory.com,2,1,82.102.6.54,1,se,2026-03-11,2026-04-11,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
smallbizdir.org,2,2,69.13.134.91,1,us,2026-03-04,2026-09-03,TOXIC,pbn-ip-cluster:69.13.134; very-low-authority(AS2); directory/article/bookmark-spam-name
snap-this.com,2,2,64.182.202.25,1,us,2026-02-26,2026-04-08,TOXIC,pbn-ip-cluster:64.182.202; very-low-authority(AS2)
spotw.org,2,2,69.13.224.211,1,us,2026-03-17,2026-04-06,TOXIC,pbn-ip-cluster:69.13.224; very-low-authority(AS2)
submitbestarticles.net,2,2,94.46.140.74,1,se,2025-07-29,2026-04-28,TOXIC,pbn-ip-cluster:94.46.140; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
techsb.ca,2,1,35.212.103.243,1,us,2025-07-15,2026-05-22,TOXIC,very-low-authority(AS2); weak signal — human QA
theseznam.net,2,2,64.182.85.122,1,us,2026-03-03,2026-08-20,TOXIC,pbn-ip-cluster:64.182.85; very-low-authority(AS2)
topbusinessfinder.com,2,2,64.182.91.22,1,us,2026-03-02,2026-08-21,TOXIC,pbn-ip-cluster:64.182.91; very-low-authority(AS2)
truebookies.com,2,1,104.26.6.163,1,,2026-04-14,2026-04-14,TOXIC,very-low-authority(AS2); high-risk-vertical(gambling/adult/pharma/essay)
urlwiz.org,2,2,64.182.223.112,1,us,2026-03-14,2026-04-03,TOXIC,pbn-ip-cluster:64.182.223; very-low-authority(AS2)
webitory.net,2,2,64.182.238.145,1,us,2026-02-26,2026-04-08,TOXIC,pbn-ip-cluster:64.182.238; very-low-authority(AS2)
whassupdirectory.com,2,2,64.182.33.111,1,us,2026-03-05,2026-04-14,TOXIC,pbn-ip-cluster:64.182.33; very-low-authority(AS2); directory/article/bookmark-spam-name
domraider.it.com,0,4,104.21.1.165,1,,2026-08-16,2026-09-02,TOXIC,very-low-authority(AS0); weak signal — human QA
reputablebusinesses.com,12,3,145.223.126.72,2,us,2026-04-21,2026-04-21,TOXIC,no strong signal — human QA
