domain,final_verdict,confidence,note
pixwox.org,MONITOR,Low,Real Instagram-viewer site not a PBN; irrelevant
openingtimes.co,KEEP,High,Legit US business opening-hours aggregator/directory
sisgroup.lk,MONITOR,Low,Possibly real Sri Lankan group; foreign irrelevant
thesocialhouseja.com,MONITOR,Low,Possible real venue; little web presence
dowjones.io,MONITOR,Low,Brandable but no clear info; not link farm
theambiencenews.com,TOXIC,Med,Single-day throwaway news post on cheap host
insearchlocal.com,TOXIC,High,PBN IP cluster 69.13.186
starsarticle.com,TOXIC,High,Article-spam name low authority
lovetravellife.com,MONITOR,Low,Possible travel blog; weak signal
associazioneagricoltorivalleverzasca.ch,KEEP,Med,Real Swiss farmers association (AAVV)
subhikh.com,MONITOR,Low,Unclear foreign site; not clearly spam
local-chamber.com,TOXIC,High,PBN IP cluster 69.13.99
abcdir.us,TOXIC,High,PBN directory-spam cluster 69.13.193
allonefinder.com,TOXIC,High,PBN cluster foreign-geo Sweden
articlesdirectories.org,TOXIC,High,Article-directory spam PBN cluster
awesomori.com,TOXIC,High,PBN IP cluster 69.13.198
bizforward.co,TOXIC,High,PBN IP cluster 69.13.5
botwspot.com,TOXIC,High,PBN cluster foreign-geo Sweden
businessprofilecenter.com,TOXIC,High,PBN IP cluster 69.13.16
companywebsitelist.com,TOXIC,High,PBN listing-spam cluster
digitalage.company,TOXIC,High,PBN cluster foreign-geo Sweden
directorycircles.com,TOXIC,High,Directory-spam PBN cluster
directoryprime.info,TOXIC,High,Directory-spam PBN cluster
directoryview.com,TOXIC,High,Directory-spam PBN cluster
elatelistings.com,TOXIC,High,Listing-spam PBN cluster
ezlinx.org,TOXIC,High,PBN IP cluster 64.182.64
findbusinesses.org,TOXIC,High,PBN IP cluster 69.13.57
frontrunnerz.net,TOXIC,High,PBN IP cluster 64.182.69
ggmap.co.com,TOXIC,Med,Throwaway single-day generic .co.com domain
gotobusiness.co,TOXIC,High,PBN IP cluster 69.13.65
horizon-layer.live,TOXIC,High,Spam TLD generic nonsense name
infolocal.biz,TOXIC,High,PBN cluster foreign-geo Sweden
listing-quest.com,TOXIC,High,Directory-spam name low authority
listingsnap.net,TOXIC,High,Listing-spam PBN cluster Sweden
local-business-center.com,TOXIC,High,PBN IP cluster 69.13.95
localdir.co,TOXIC,High,PBN directory-spam cluster
locationbusinesslistings.com,TOXIC,High,Listing-spam PBN cluster Sweden
marketing-updatee.store,TOXIC,High,Spam TLD misspelled throwaway name
naturalegno.net,MONITOR,Low,Real Italian garden brand; .net parked
onlinebrillians.com,TOXIC,High,PBN IP cluster 64.182.157
pearlsoftheweb.org,TOXIC,High,PBN IP cluster 64.182.166
premiumwebindex.com,TOXIC,High,Directory-spam PBN cluster
realdir.net,TOXIC,High,PBN directory-spam cluster
rumoursnews.com,MONITOR,Low,Long-lived news site; weak signal
selectbusinesszone.com,TOXIC,High,PBN IP cluster 69.13.234
sift2sites.com,TOXIC,High,PBN IP cluster 64.182.197
smallbusinesslists.info,TOXIC,High,PBN listing-spam cluster
spiderable.net,TOXIC,High,PBN IP cluster 64.182.184
staticdirectori.org,TOXIC,High,Directory-spam PBN cluster
suggestsites.net,TOXIC,High,PBN IP cluster 64.182.187
thehomefixhub.com,KEEP,Med,Real US home-services company licensed insured
thezoomlisting.com,TOXIC,High,Listing-spam PBN cluster Sweden
topvotedlistings.com,TOXIC,High,Listing-spam PBN cluster
ultimatebiz.net,TOXIC,High,PBN IP cluster 64.182.224
webawards.co,TOXIC,High,PBN IP cluster 64.182.61
webopedia.biz,TOXIC,High,Brand knockoff PBN cluster
yeow.ai,MONITOR,Low,Generic .ai site; weak signal
xylo-mist.online,TOXIC,High,Nonsense name spam TLD zero authority
localstack.org,TOXIC,High,Brand knockoff PBN cluster Sweden
businessspot.org,TOXIC,High,PBN IP cluster 69.13.17
rankvanceseo.info,TOXIC,High,SEO link-scheme name
goooogla.com,TOXIC,High,Nonsense Google-typo domain shared IP
mygirlyspace.com,MONITOR,Low,Old generic personal-blog name; weak signal
a2zweblinks.org,TOXIC,High,Directory-spam PBN cluster
articlelistingz.com,TOXIC,High,Article-listing spam PBN Sweden
