domain,final_verdict,confidence,note
findabusinessthat.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
findbiz.info,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
findtor.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
geobizdirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
infodirectorynow.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
inspiredirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
listglobe.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
listing-quest.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
localbizsphere.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
localpulsedirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
loyaldirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
onlinelocalbrand.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
shareddirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
truebizdirectory.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
ultimatelistzone.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
urbanbizlistings.com,MONITOR,Med,"standalone local business directory - review, don't auto-disavow"
