domain,ascore,ip,on_farm,geo_links,example_anchor,example_target,default_recommendation
viral-status.com,18,104.21.72.65,no,1,"lawn care Bartlett, TN",https://www.masterlawn.com/lawn-care-and-spray-bartlett-tn,TOXIC (scheme/generic)
sportmediaset.co,11,172.67.192.199,no,1,"weed control Collierville, TN",https://www.masterlawn.com/lawn-care-and-spray-collierville-,TOXIC (scheme/generic)
southernlanka.lk,7,135.181.210.47,no,1,What s the Best Grass for Memphis TN Tips to Identify Grass ,https://www.masterlawn.com/hubfs/Images/Bermuda%20Grass.jpg,TOXIC (scheme/generic)
wealthyoverview.com,7,172.67.130.236,no,1,lawn care Memphis,https://www.masterlawn.com/lawn-care-and-spray-memphis-tn,TOXIC (scheme/generic)
jobsapp.info,6,172.67.128.71,no,1,midsouthturf.com,https://www.masterlawn.com/blog/,TOXIC (scheme/generic)
usapridenetwork.us,6,172.67.179.136,no,1,weed control Memphis,https://www.masterlawn.com/lawn-care-and-spray-memphis-tn,TOXIC (scheme/generic)
all-aged-domains.com,5,104.21.35.81,no,1,midsouthturf.com,https://www.masterlawn.com/blog/,TOXIC (scheme/generic)
findabusinessthat.com,5,172.67.146.82,no,2,http://www.midsouthturf.com,https://www.masterlawn.com/blog/,MONITOR (review)
rankvanceseo.info,5,104.21.56.99,no,1,midsouthturf.com,https://www.masterlawn.com/blog/,TOXIC (scheme/generic)
factmags.com,4,203.161.54.114,no,4,https://midsouthturf.com/,https://www.masterlawn.com/blog/,TOXIC (scheme/generic)
goooogla.com,4,203.161.54.114,no,1,https://midsouthturf.com/,https://www.masterlawn.com/blog/,TOXIC (scheme/generic)
startupwebsolutions.com.au,4,172.67.138.213,no,3,Green King Spray Service | Memphis lawn Care | Memphis Spray,https://www.masterlawn.com/,TOXIC (scheme/generic)
civiltej.com,3,108.181.242.144,no,1,lawn care Collierville,https://www.masterlawn.com/lawn-care-and-spray-collierville-,TOXIC (scheme/generic)
writfy.com,3,104.21.57.78,no,1,weed control Bartlett TN,https://www.masterlawn.com/lawn-care-and-spray-bartlett-tn,TOXIC (scheme/generic)
cityvetted.com,2,62.169.24.248,no,1,Master Lawn - Huntsville,https://www.masterlawn.com/location/lawn-care-services-hunts,TOXIC (scheme/generic)
findbiz.info,2,185.139.128.92,no,1,Weed Control Services Bartlett TN,https://www.masterlawn.com/service/weed-control-services-bar,MONITOR (review)
findtor.com,2,3.132.208.69,no,1,"A Handy Tree and Shrub Care Calendar for Memphis, TN Homeown",https://www.masterlawn.com/a-handy-tree-and-shrub-care-calen,MONITOR (review)
geobizdirectory.com,2,51.81.0.71,no,1,Lawn Care Germantown TN,http://masterlawn.com/,MONITOR (review)
